frame,time_s,left_cycle_index,right_cycle_index,left_state,right_state,left_angle_raw_deg,right_angle_raw_deg,left_angle_smoothed_deg,right_angle_smoothed_deg,left_elbow_alignment_angle_deg,right_elbow_alignment_angle_deg,left_true_torso_angle_deg,right_true_torso_angle_deg,left_aligned,right_aligned,left_reps,right_reps,left_correct_reps,right_correct_reps,left_incorrect_reps,right_incorrect_reps,total_reps,left_last_rep_reasons,right_last_rep_reasons
175,5.825,0,0,transition,unknown,130.2,143.93,126.87,150.03,19.19,8.87,172.9,178.34,1,1,0,0,0,0,0,0,0,,
176,5.859,0,0,transition,unknown,130.15,143.42,127.51,150.03,19.21,9.59,173.23,178.71,1,1,0,0,0,0,0,0,0,,
177,5.892,0,0,transition,unknown,129.91,143.49,128.11,150.03,19.59,8.9,173.24,178.49,1,1,0,0,0,0,0,0,0,,
178,5.925,0,0,transition,unknown,130.12,143.45,128.7,150.03,19.59,8.87,173.96,179.77,1,1,0,0,0,0,0,0,0,,
179,5.958,0,0,transition,unknown,130.15,140.5,129.15,150.03,20.24,9.39,174.38,179.88,0,1,0,0,0,0,0,0,0,,
180,5.992,0,0,transition,unknown,130.66,139.54,129.61,150.03,20.18,10.16,174.59,180.0,0,1,0,0,0,0,0,0,0,,
181,6.025,0,0,transition,unknown,130.42,138.21,129.93,150.03,20.76,9.51,174.72,179.41,0,1,0,0,0,0,0,0,0,,
182,6.058,0,0,transition,unknown,130.55,143.15,130.04,150.03,20.36,9.69,174.72,179.41,0,1,0,0,0,0,0,0,0,,
183,6.092,0,0,transition,unknown,131.22,144.12,130.18,150.03,19.8,9.33,174.95,179.41,0,1,0,0,0,0,0,0,0,,
184,6.125,0,0,transition,unknown,130.7,140.75,130.24,150.03,20.3,10.56,175.25,179.52,0,1,0,0,0,0,0,0,0,,
185,6.158,0,0,transition,unknown,131.56,143.19,130.44,150.03,20.3,9.78,175.59,178.79,0,1,0,0,0,0,0,0,0,,
186,6.191,0,0,transition,unknown,131.19,141.32,130.57,150.03,20.7,9.57,175.3,179.04,0,1,0,0,0,0,0,0,0,,
187,6.225,0,0,transition,unknown,131.2,142.09,130.65,150.03,20.83,9.46,175.76,179.28,0,1,0,0,0,0,0,0,0,,
188,6.258,0,0,transition,unknown,131.91,143.21,130.8,150.03,20.37,9.4,175.71,179.04,0,1,0,0,0,0,0,0,0,,
189,6.291,0,0,transition,unknown,132.25,143.09,131.0,150.03,20.29,9.88,175.71,178.8,0,1,0,0,0,0,0,0,0,,
190,6.325,0,0,transition,unknown,134.47,144.54,131.36,150.03,18.73,10.01,175.11,179.03,0,1,0,0,0,0,0,0,0,,
